id,Countries,Population,Continent
1,China,1439323776,Asia
2,India,1380004385,Asia
3,USA,331002651,Americas
4,Indonesia,273523615,Asia
5,Pakistan,220892340,Asia
6,Brazil,212559417,Americas
7,Nigeria,206139589,Africa
8,Bangladesh,164689383,Asia
9,Russia,145934462,Europe
10,Mexico,128932753,Americas
11,Japan,126476461,Asia
12,Ethiopia,114963588,Africa
13,Philippines,109581078,Asia
14,Egypt,102334404,Africa
15,Vietnam,97338579,Asia
16,DR_Congo,89561403,Africa
17,Turkey,84339067,Asia
18,Iran,83992949,Asia
19,Germany,83783942,Europe
20,Thailand,69799978,Asia
21,UK,67886011,Europe
22,France,65273511,Europe
23,Italy,60461826,Europe
24,Tanzania,59734218,Africa
25,South_Africa,59308690,Africa
26,Myanmar,54409800,Asia
27,Kenya,53771296,Africa
28,South_Korea,51269185,Asia
29,Colombia,50882891,Americas
30,Spain,46754778,Europe
31,Uganda,45741007,Africa
32,Argentina,45195774,Americas
33,Algeria,43851044,Africa
34,Sudan,43849260,Africa
35,Ukraine,43733762,Europe
36,Iraq,40222493,Asia
37,Afghanistan,38928346,Asia
38,Poland,37846611,Europe
39,Canada,37742154,Americas
40,Morocco,36910560,Africa
41,Saudi_Arabia,34813871,Asia
42,Uzbekistan,33469203,Asia
43,Peru,32971854,Americas
44,Angola,32866272,Africa
45,Malaysia,32365999,Asia
46,Mozambique,31255435,Africa
47,Ghana,31072940,Africa
48,Yemen,29825964,Asia
49,Nepal,29136808,Asia
50,Venezuela,28435940,Americas
51,Madagascar,27691018,Africa
52,Cameroon,26545863,Africa
53,Ivory_Coast,26378274,Africa
55,Australia,25499884,Oceania
56,Niger,24206644,Africa
57,Taiwan,23816775,Asia
58,Sri_Lanka,21413249,Asia
59,Burkina_Faso,20903273,Africa
60,Mali,20250833,Africa
61,Romania,19237691,Europe
62,Malawi,19129952,Africa
63,Chile,19116201,Americas
64,Kazakhstan,18776707,Asia
65,Zambia,18383955,Africa
66,Guatemala,17915568,Americas
67,Ecuador,17643054,Americas
68,Syria,17500658,Asia
69,Netherlands,17134872,Europe
70,Senegal,16743927,Africa
71,Cambodia,16718965,Asia
72,Chad,16425864,Africa
73,Somalia,15893222,Africa
74,Zimbabwe,14862924,Africa
75,Guinea,13132795,Africa
76,Rwanda,12952218,Africa
77,Benin,12123200,Africa
78,Burundi,11890784,Africa
79,Tunisia,11818619,Africa
80,Bolivia,11673021,Americas
81,Belgium,11589623,Europe
82,Haiti,11402528,Americas
83,Cuba,11326616,Americas
84,South_Sudan,11193725,Africa
85,Dominican_Republic,10847910,Americas
86,Czech_Republic,10708981,Europe
87,Greece,10423054,Europe
88,Jordan,10203134,Asia
89,Portugal,10196709,Europe
90,Azerbaijan,10139177,Asia
91,Sweden,10099265,Europe
92,Honduras,9904607,Americas
93,United_Arab_Emirates,9890402,Asia
94,Hungary,9660351,Europe
95,Tajikistan,9537645,Asia
96,Belarus,9449323,Europe
97,Austria,9006398,Europe
98,Papua_New_Guinea,8947024,Oceania
99,Serbia,8737371,Europe
100,Israel,8655535,Asia
101,Switzerland,8654622,Europe
102,Togo,8278724,Africa
103,Sierra_Leone,7976983,Africa
104,Hong_Kong,7496981,Asia
105,Laos,7275560,Asia
106,Paraguay,7132538,Americas
107,Bulgaria,6948445,Europe
108,Libya,6871292,Africa
109,Lebanon,6825445,Asia
110,Nicaragua,6624554,Americas
111,Kyrgyzstan,6524195,Asia
112,El_Salvador,6486205,Americas
113,Turkmenistan,6031200,Asia
114,Singapore,5850342,Asia
115,Denmark,5792202,Europe
116,Finland,5540720,Europe
117,Congo,5518087,Africa
118,Slovakia,5459642,Europe
119,Norway,5421241,Europe
120,Oman,5106626,Asia
122,Costa_Rica,5094118,Americas
123,Liberia,5057681,Africa
124,Ireland,4937786,Europe
125,Central_African_Republic,4829767,Africa
126,New_Zealand,4822233,Oceania
127,Mauritania,4649658,Africa
128,Panama,4314767,Americas
129,Kuwait,4270571,Asia
130,Croatia,4105267,Europe
131,Moldova,4033963,Europe
132,Georgia,3989167,Asia
133,Eritrea,3546421,Africa
134,Uruguay,3473730,Americas
135,Bosnia_and_Herzegovina,3280819,Europe
136,Mongolia,3278290,Asia
137,Armenia,2963243,Asia
138,Jamaica,2961167,Americas
139,Qatar,2881053,Asia
140,Albania,2877797,Europe
141,Puerto_Rico,2860853,Americas
142,Lithuania,2722289,Europe
143,Namibia,2540905,Africa
144,Gambia,2416668,Africa
145,Botswana,2351627,Africa
146,Gabon,2225734,Africa
147,Lesotho,2142249,Africa
148,North_Macedonia,2083374,Europe
149,Slovenia,2078938,Europe
150,Guinea_Bissau,1968001,Africa
151,Latvia,1886198,Europe
152,Bahrain,1701575,Asia
153,Equatorial_Guinea,1402985,Africa
154,Tobago,1399488,Americas
155,Estonia,1326535,Europe
156,Timor_Leste,1318445,Asia
157,Mauritius,1271768,Africa
158,Cyprus,1207359,Asia
159,Swaziland,1160164,Africa
160,Djibouti,988000,Africa
161,Fiji,896445,Oceania
162,Réunion,895312,Africa
163,Comoros,869601,Africa
164,Guyana,786552,Americas
165,Bhutan,771608,Asia
166,Solomon_Islands,686884,Oceania
167,Macao,649335,Asia
168,Montenegro,628066,Europe
169,Luxembourg,625978,Europe
170,Western_Sahara,597339,Africa
171,Suriname,586632,Americas
172,Cape_Verde,555987,Africa
173,Maldives,540544,Asia
174,Malta,441543,Europe
175,Brunei,437479,Asia
176,Guadeloupe,400124,Americas
177,Belize,397628,Americas
178,Bahamas,393244,Americas
179,Martinique,375265,Americas
180,Iceland,341243,Europe
181,Vanuatu,307145,Oceania
182,French_Guiana,298682,Americas
183,Barbados,287375,Americas
184,New_Caledonia,285498,Oceania
185,French_Polynesia,280908,Oceania
186,Mayotte,272815,Africa
187,Sao_Tome_and_Principe,219159,Africa
188,Samoa,198414,Oceania
189,Saint_Lucia,183627,Americas
191,Guam,168775,Oceania
192,Curaçao,164093,Americas
193,Kiribati,119449,Oceania
195,Grenada,112523,Americas
196,Saint_Vincent_and_the_Grenadines,110940,Americas
197,Aruba,106766,Americas
198,Tonga,105695,Oceania
200,Seychelles,98347,Africa
201,Barbuda,97929,Americas
202,Isle_of_Man,85033,Europe
203,Andorra,77265,Europe
204,Dominica,71986,Americas
205,Cayman_Islands,65722,Americas
206,Bermuda,62278,Americas
207,Marshall_Islands,59190,Oceania
208,Northern_Mariana_Islands,57559,Oceania
209,Greenland,56770,Americas
210,American_Samoa,55191,Oceania
211,Saint_Kitts_and_Nevis,53199,Americas
214,Monaco,39242,Europe
217,Liechtenstein,38128,Europe
218,San_Marino,33931,Europe
219,Gibraltar,33691,Europe
222,Palau,18094,Oceania
223,Cook_Islands,17564,Oceania
224,Anguilla,15003,Americas
225,Tuvalu,11792,Oceania
227,Nauru,10824,Oceania
231,Montserrat,4992,Americas
233,Niue,1626,Oceania
234,Tokelau,1357,Oceania
235,Holy_See,801,Europe
